+++++++2025-05-20 13:14:30,303 - uvicorn.error - INFO - Started server process [108743]
2025-05-20 13:54:01,521 - uvicorn.error - INFO - Application startup complete.
2025-05-20 13:54:02,423 - uvicorn.error - INFO - Shutting down
2025-05-20 13:54:02,525 - uvicorn.error - INFO - Waiting for application shutdown.
2025-05-20 13:54:02,528 - uvicorn.error - INFO - Application shutdown complete.
2025-05-20 13:54:02,529 - uvicorn.error - INFO - Finished server process [140198]
2025-05-20 13:54:03,076 - passlib.utils.compat - DEBUG - loaded lazy attr 'SafeConfigParser': <class 'configparser.ConfigParser'>
2025-05-20 13:54:03,077 - passlib.utils.compat - DEBUG - loaded lazy attr 'NativeStringIO': <class '_io.StringIO'>
2025-05-20 13:54:03,077 - passlib.utils.compat - DEBUG - loaded lazy attr 'BytesIO': <class '_io.BytesIO'>
2025-05-20 13:54:03,079 - passlib.registry - DEBUG - registered 'bcrypt' handler: <class 'passlib.handlers.bcrypt.bcrypt'>
2025-05-20 13:54:03,167 - uvicorn.error - INFO - Started server process [140242]
2025-05-20 13:54:03,168 - uvicorn.error - INFO - Waiting for application startup.
2025-05-20 13:54:03,183 - uvicorn.error - INFO - Application startup complete.
2025-05-20 13:54:05,691 - uvicorn.error - INFO - Shutting down
2025-05-20 13:54:05,791 - uvicorn.error - INFO - Waiting for application shutdown.
2025-05-20 13:54:05,792 - uvicorn.error - INFO - Application shutdown complete.
2025-05-20 13:54:05,793 - uvicorn.error - INFO - Finished server process [140242]
2025-05-20 13:54:06,340 - passlib.utils.compat - DEBUG - loaded lazy attr 'SafeConfigParser': <class 'configparser.ConfigParser'>
2025-05-20 13:54:06,341 - passlib.utils.compat - DEBUG - loaded lazy attr 'NativeStringIO': <class '_io.StringIO'>
2025-05-20 13:54:06,342 - passlib.utils.compat - DEBUG - loaded lazy attr 'BytesIO': <class '_io.BytesIO'>
2025-05-20 13:54:06,343 - passlib.registry - DEBUG - registered 'bcrypt' handler: <class 'passlib.handlers.bcrypt.bcrypt'>
2025-05-20 13:54:06,423 - uvicorn.error - INFO - Started server process [140290]
2025-05-20 13:54:06,423 - uvicorn.error - INFO - Waiting for application startup.
2025-05-20 13:54:06,439 - uvicorn.error - INFO - Application startup complete.
2025-05-20 13:54:06,640 - uvicorn.error - INFO - Shutting down
2025-05-20 13:54:06,741 - uvicorn.error - INFO - Waiting for application shutdown.
2025-05-20 13:54:06,742 - uvicorn.error - INFO - Application shutdown complete.
2025-05-20 13:54:06,742 - uvicorn.error - INFO - Finished server process [140290]
2025-05-20 13:54:07,292 - passlib.utils.compat - DEBUG - loaded lazy attr 'SafeConfigParser': <class 'configparser.ConfigParser'>
2025-05-20 13:54:07,294 - passlib.utils.compat - DEBUG - loaded lazy attr 'NativeStringIO': <class '_io.StringIO'>
2025-05-20 13:54:07,294 - passlib.utils.compat - DEBUG - loaded lazy attr 'BytesIO': <class '_io.BytesIO'>
2025-05-20 13:54:07,296 - passlib.registry - DEBUG - registered 'bcrypt' handler: <class 'passlib.handlers.bcrypt.bcrypt'>
2025-05-20 13:54:07,380 - uvicorn.error - INFO - Started server process [140318]
2025-05-20 13:54:07,380 - uvicorn.error - INFO - Waiting for application startup.
2025-05-20 13:54:07,395 - uvicorn.error - INFO - Application startup complete.
2025-05-20 13:54:39,407 - uvicorn.access - INFO - 127.0.0.1:43088 - "GET /api/v1/users?skip=0&limit=100 HTTP/1.1" 401
2025-05-20 13:55:01,694 - uvicorn.access - INFO - 127.0.0.1:47802 - "GET /api/v1/users?skip=0&limit=100 HTTP/1.1" 401
2025-05-20 13:55:13,850 - python_multipart.multipart - DEBUG - Calling on_field_start with no data
2025-05-20 13:55:13,851 - python_multipart.multipart - DEBUG - Calling on_field_name with data[0:10]
2025-05-20 13:55:13,852 - python_multipart.multipart - DEBUG - Calling on_field_data with data[11:19]
2025-05-20 13:55:13,853 - python_multipart.multipart - DEBUG - Calling on_field_end with no data
2025-05-20 13:55:13,854 - python_multipart.multipart - DEBUG - Calling on_field_start with no data
2025-05-20 13:55:13,855 - python_multipart.multipart - DEBUG - Calling on_field_name with data[20:28]
2025-05-20 13:55:13,856 - python_multipart.multipart - DEBUG - Calling on_field_data with data[29:35]
2025-05-20 13:55:13,857 - python_multipart.multipart - DEBUG - Calling on_field_end with no data
2025-05-20 13:55:13,858 - python_multipart.multipart - DEBUG - Calling on_field_start with no data
2025-05-20 13:55:13,859 - python_multipart.multipart - DEBUG - Calling on_field_name with data[36:44]
2025-05-20 13:55:13,860 - python_multipart.multipart - DEBUG - Calling on_field_data with data[45:53]
2025-05-20 13:55:13,861 - python_multipart.multipart - DEBUG - Calling on_field_end with no data
2025-05-20 13:55:13,862 - python_multipart.multipart - DEBUG - Calling on_end with no data
2025-05-20 13:55:13,884 - passlib.handlers.bcrypt - WARNING - (trapped) error reading bcrypt version
Traceback (most recent call last):
  File "/home/radekzitek/Code/fshub-online/aiph-lambda/.venv/lib/python3.12/site-packages/passlib/handlers/bcrypt.py", line 620, in _load_backend_mixin
    version = _bcrypt.__about__.__version__
              ^^^^^^^^^^^^^^^^^
AttributeError: module 'bcrypt' has no attribute '__about__'
2025-05-20 13:55:13,886 - passlib.handlers.bcrypt - DEBUG - detected 'bcrypt' backend, version '<unknown>'
2025-05-20 13:55:13,886 - passlib.handlers.bcrypt - DEBUG - 'bcrypt' backend lacks $2$ support, enabling workaround
2025-05-20 13:55:14,083 - uvicorn.access - INFO - 127.0.0.1:41010 - "POST /api/v1/oauth/token HTTP/1.1" 200
2025-05-20 13:55:19,352 - uvicorn.access - INFO - 127.0.0.1:41020 - "GET /api/v1/health HTTP/1.1" 200
2025-05-20 13:55:21,410 - uvicorn.access - INFO - 127.0.0.1:41020 - "GET /api/v1/users?skip=0&limit=100 HTTP/1.1" 200
2025-05-20 13:58:24,404 - uvicorn.error - INFO - Shutting down
